Designator,Mid X,Mid Y,Rotation,Layer
C1,-4.50000,-15.00000,270,Top
C2,3.50000,-3.00000,0,Top
C3,-3.50000,-3.00000,180,Top
C4,6.50000,-9.50000,0,Top
C5,-15.00000,0.50000,180,Top
C6,-15.00000,2.60000,180,Top
C7,-15.00000,4.70000,180,Top
C8,29.46074,7.89398,285,Top
C9,42.98370,11.51745,285,Top
C11,56.50666,15.14091,285,Top
C12,-15.00000,6.30000,180,Top
C13,-3.12941,9.98296,270,Top
C15,-1.02941,9.98296,270,Top
C16,2.00000,-15.00000,90,Top
C17,-3.00000,-15.00000,270,Top
C18,-3.12941,12.98296,90,Top
C19,-1.02941,12.98296,90,Top
C_UCAP,-7.00000,-7.50000,180,Top
D_BOOST,-7.50000,11.50000,0,Top
FP6291,-11.87059,3.01704,90,Top
IR_LED,3.50000,0.00000,90,Top
J1,-61.20000,0.10000,0,Top
JP2,3.00000,9.50000,270,Top
L3,-7.00000,7.50000,90,Top
LED1,25.59703,6.85870,105,Top
LED2,18.73833,18.73833,135,Top
LED3,6.85870,25.59703,165,Top
LED4,-6.85870,25.59703,195,Top
LED5,-18.73833,18.73833,225,Top
LED6,-25.59703,6.85870,255,Top
LED7,-25.59703,-6.85870,285,Top
LED8,-18.73833,-18.73833,315,Top
LED9,-6.85870,-25.59703,345,Top
LED10,6.85870,-25.59703,15,Top
LED11,18.73833,-18.73833,45,Top
LED12,25.59703,-6.85870,75,Top
LED13,39.11999,10.48217,105,Top
LED14,28.63782,28.63782,135,Top
LED15,10.48217,39.11999,165,Top
LED16,-10.48217,39.11999,195,Top
LED17,-28.63782,28.63782,225,Top
LED18,-39.11999,10.48217,255,Top
LED19,-39.11999,-10.48217,285,Top
LED20,-28.63782,-28.63782,315,Top
LED21,-10.48217,-39.11999,345,Top
LED22,10.48217,-39.11999,15,Top
LED23,28.63782,-28.63782,45,Top
LED24,39.11999,-10.48217,75,Top
LED25,52.64296,14.10564,105,Top
LED26,38.53732,38.53732,135,Top
LED27,14.10564,52.64296,165,Top
LED28,-14.10564,52.64296,195,Top
LED29,-38.53732,38.53732,225,Top
LED30,-52.64296,14.10564,255,Top
LED31,-52.64296,-14.10564,285,Top
LED32,-38.53732,-38.53732,315,Top
LED33,-14.10564,-52.64296,345,Top
LED34,14.10564,-52.64296,15,Top
LED35,38.53732,-38.53732,45,Top
LED36,52.64296,-14.10564,75,Top
PWR_LED,-17.50000,-3.00000,180,Top
Q1,17.39573,3.69635,105,Top
Q2,-3.50000,0.00000,180,Top
Q3,-0.50000,-15.00000,0,Top
Q4,7.00000,7.00000,0,Top
Q5,3.00000,7.00000,0,Top
R1_BOOST,-10.77646,8.89778,90,Top
R2_BOOST,-12.87646,8.89778,270,Top
R_COIL_EN,8.80000,3.10000,0,Top
R_COIL_PD,8.80000,4.60000,180,Top
R_D+,-55.20000,-0.20000,180,Top
R_D-,-55.20000,0.90000,180,Top
R_IRLED,5.50000,0.00000,90,Top
R_IRPT,-5.00000,0.00000,90,Top
R_LED,4.50000,-11.00000,180,Top
R_LED_EN1,16.48987,7.07709,195,Top
R_LED_EN3,5.00000,5.00000,0,Top
R_LED_PD1,16.77456,6.01458,15,Top
R_LED_PD3,5.00000,9.00000,180,Top
R_LED_TERM,27.56000,3.51000,195,Top
R_OC,-11.87059,0.01704,0,Top
R_PLED,-17.50000,-1.50000,0,Top
R_RST,-4.50000,-12.00000,270,Top
R_SCL,7.50000,-14.50000,0,Top
R_SDA,7.50000,-12.50000,0,Top
S1,-8.00000,-12.50000,270,Top
U0,0.00000,-7.50000,0,Top
USER_LED,7.50000,-11.00000,180,Top
